ts,kind_brand,kind_category,idtype_count,device_cummulative_cnts
2022-01-13,Samsung,Smart Phone,961,464801
2022-01-13,LG,Smart Phone,534,62793
2022-01-13,Huawei,Smart Phone,461,9467
2022-01-13,Motorola,Smart Phone,300,64285
2022-01-13,Sony,Smart Phone,250,5109
2022-01-13,Xiaomi,Smart Phone,195,6152
2022-01-13,Alcatel,Smart Phone,168,7639
2022-01-13,Nokia,Smart Phone,152,2149
2022-01-13,ZTE,Smart Phone,148,4093
2022-01-13,Vivo,Smart Phone,143,916
2022-01-13,HTC,Smart Phone,138,552
2022-01-13,Lenovo,Smart Phone,119,2610
2022-01-13,Oppo,Smart Phone,114,1777
2022-01-13,Sharp,Smart Phone,89,3670
2022-01-13,Kyocera,Smart Phone,76,2121
2022-01-13,Asus,Smart Phone,67,670
2022-01-13,Philips,Smart Phone,67,3572
2022-01-13,OPPO,Smart Phone,57,465
2022-01-13,Google,Smart Phone,52,38833
2022-01-13,Tecno Mobile,Smart Phone,51,118
2022-01-13,Blu,Smart Phone,42,471
2022-01-13,Apple,Smart Phone,41,1544532
2022-01-13,TCL,Smart Phone,40,1242
2022-01-13,Oneplus,Smart Phone,35,719
2022-01-13,CAT,Smart Phone,31,391
2022-01-13,Infinix,Smart Phone,31,89
2022-01-13,Meizu,Smart Phone,31,112
2022-01-13,Fujitsu,Smart Phone,25,811
2022-01-13,Toshiba,Smart Phone,25,150
2022-01-13,Ulephone,Smart Phone,25,135
2022-01-13,OnePlus,Smart Phone,23,11292
2022-01-13,Realme,Smart Phone,20,108
2022-01-13,Ezze,Smart Phone,19,96
2022-01-13,Elite,Smart Phone,18,260
2022-01-13,iTel,Smart Phone,18,38
2022-01-13,Hisense,Smart Phone,18,21
2022-01-13,Acer,Smart Phone,15,77
2022-01-13,VK Mobile,Smart Phone,14,156
2022-01-13,SH,Smart Phone,13,57
2022-01-13,Coolpad,Smart Phone,13,611
2022-01-13,HP,Smart Phone,13,207
2022-01-13,Medion,Smart Phone,12,99
2022-01-13,Vodafone,Smart Phone,12,22
2022-01-13,Note,Smart Phone,12,41
2022-01-13,BlackBerry,Smart Phone,12,156
2022-01-13,Sugar,Smart Phone,12,18
2022-01-13,Quad,Smart Phone,12,110
2022-01-13,LC,Smart Phone,11,37
2022-01-13,Evpad,Smart Phone,11,55
2022-01-13,Pantech,Smart Phone,11,151
2022-01-13,RIM,Smart Phone,11,337
2022-01-13,Wiko,Smart Phone,11,1263
2022-01-13,Microsoft,Smart Phone,10,173
2022-01-13,LeEco,Smart Phone,10,30
2022-01-13,F,Smart Phone,9,97
2022-01-13,Konka,Smart Phone,9,35
2022-01-13,Android,Smart Phone,9,73
2022-01-13,XQ,Smart Phone,9,40
2022-01-13,Qiuyu,Smart Phone,8,31
2022-01-13,T-Mobile,Smart Phone,8,1304
2022-01-13,Letv,Smart Phone,8,12
2022-01-13,Aosp,Smart Phone,8,27
2022-01-13,X96MAX,Smart Phone,8,14
2022-01-13,Mpman,Smart Phone,8,29
2022-01-13,Pdwx,Smart Phone,8,66
2022-01-13,TAB,Smart Phone,7,10
2022-01-13,Trio,Smart Phone,7,15
2022-01-13,A95X,Smart Phone,7,26
2022-01-13,Studio,Smart Phone,7,8
2022-01-13,Amazon,Smart Phone,7,216
2022-01-13,Bmobile,Smart Phone,7,45
2022-01-13,Panasonic,Smart Phone,7,62
2022-01-13,Ulefone,Smart Phone,7,2450
2022-01-13,Sanyo,Smart Phone,7,93
2022-01-13,Sony Ericsson,Smart Phone,7,24
2022-01-13,Cricket,Smart Phone,6,1272
